package_name;license
urllib3;MIT License
six;MIT License
botocore;Apache-2.0 License
requests;Apache-2.0 License
python-dateutil;Apache License (text)
certifi;Mozilla Public License (text)
s3transfer;Apache-2.0 License
idna;BSD-3-Clause License
chardet;LGPL-2.1 License
pip;MIT License
setuptools;MIT License
pyyaml;MIT License
jmespath;License not permissive (text)
pyasn1;BSD-2-Clause License
rsa;Apache License (text)
pytz;MIT License
boto3;Apache-2.0 License
numpy;BSD-3-Clause License
awscli;Apache License (text)
colorama;BSD-3-Clause License
wheel;MIT License (text)
futures;Python Software Foundation (text)
markupsafe;BSD-3-Clause License
protobuf;License not permissive (text)
jinja2;BSD-3-Clause License
simplejson;MIT License (text)
cryptography;License not permissive (text)
attrs;MIT License
click;BSD-3-Clause License
importlib-metadata;Apache License (text)
pyasn1-modules;BSD-2-Clause License
future;MIT License
zipp;MIT License
pandas;BSD-3-Clause License
pyparsing;MIT License
cachetools;MIT License
pycparser;License not permissive (text)
oauthlib;BSD-3-Clause License
google-auth;Apache-2.0 License
requests-oauthlib;ISC License
werkzeug;BSD-3-Clause License
decorator;BSD-2-Clause License
scipy;BSD-3-Clause License
packaging;License not permissive (text)
google-api-core;Apache-2.0 License
wcwidth;MIT License (text)
more-itertools;MIT License
grpcio;Apache-2.0 License
googleapis-common-protos;Apache-2.0 License
pytest;MIT License
jsonschema;MIT License
google-cloud-core;Apache-2.0 License
py;MIT License
pluggy;MIT License
pygments;BSD-2-Clause License
psutil;BSD-3-Clause License
flask;BSD-3-Clause License
pyjwt;MIT License
coverage;Apache-2.0 License
scikit-learn;BSD-3-Clause License
pyrsistent;MIT License
itsdangerous;BSD-3-Clause License
wrapt;BSD-2-Clause License
pillow;HPND License (text)
google-cloud-storage;Apache-2.0 License
virtualenv;MIT License
ipaddress;Python Software Foundation (text)
websocket-client;LGPL-2.1 License
pyopenssl;Apache-2.0 License
sqlalchemy;MIT License
entrypoints;MIT License
google-resumable-media;Apache-2.0 License
joblib;BSD-3-Clause License
lxml;BSD-3-Clause License
configparser;MIT License
prompt-toolkit;BSD-3-Clause License
asn1crypto;MIT License
ipython;BSD 3-Clause License (text)
pexpect;ISC License (text)
redis;MIT License
isodate;License not found
httplib2;License not permissive (text)
matplotlib;License not found
ptyprocess;ISC License (text)
mock;BSD-2-Clause License
mccabe;Expat License (text)
google-api-python-client;Apache License (text)
boto;License not permissive (text)
tornado;Apache-2.0 License
defusedxml;Python Software Foundation (text)
tqdm;Mozilla Public License (text)
docker;Apache-2.0 License
traitlets;License not permissive (text)
tensorboard;Apache-2.0 License
appdirs;MIT License (text)
pycodestyle;Expat License (text)
tensorflow;Apache-2.0 License
webencodings;License not permissive (text)
kiwisolver;Modified BSD License (text)
bleach;Apache License (text)
uritemplate;License not permissive (text)
msrest;MIT License
pickleshare;MIT License
tabulate;MIT License
psycopg2-binary;LGPL (text)
bcrypt;Apache-2.0 License
typing;Python Software Foundation (text)
azure-common;MIT License
argparse;Apache License (text)
absl-py;Apache-2.0 License
prometheus-client;Apache-2.0 License
pyzmq;Modified BSD License (text)
soupsieve;MIT License
typed-ast;Python Software Foundation (text)
tensorflow-estimator;Apache-2.0 License
paramiko;LGPL-2.1 License
markdown;License not permissive (text)
pynacl;Apache-2.0 License
atomicwrites;MIT License
gunicorn;License not permissive (text)
lazy-object-proxy;BSD-2-Clause License
pyflakes;MIT License
google-auth-oauthlib;Apache-2.0 License
cycler;BSD-3-Clause License
filelock;Unlicense License
h5py;BSD-3-Clause License
google-auth-httplib2;Apache-2.0 License
google-cloud-bigquery;Apache-2.0 License
gitpython;BSD-3-Clause License
dill;License not permissive (text)
pathlib2;MIT License
toml;MIT License
multidict;Apache-2.0 License
contextlib2;Python Software Foundation (text)
isort;MIT License
funcsigs;Apache License (text)
sqlparse;BSD-3-Clause License
pymongo;Apache-2.0 License
mistune;BSD-3-Clause License
docopt;MIT License
jupyter-client;License not permissive (text)
nbconvert;Modified BSD License (text)
requests-toolbelt;Apache License (text)
notebook;Modified BSD License (text)
testpath;BSD-3-Clause License
pandocfilters;BSD-3-Clause License
pyarrow;Apache-2.0 License
terminado;License not permissive (text)
send2trash;BSD-3-Clause License
oauth2client;Apache-2.0 License
babel;License not permissive (text)
pytest-cov;MIT License
azure-storage-common;MIT License
retrying;Apache-2.0 License
jedi;MIT License (text)
aiohttp;Apache License (text)
scandir;BSD-3-Clause License
parso;MIT License (text)
astroid;LGPL-2.1 License
gast;BSD-3-Clause License
async-timeout;Apache License (text)
pylint;GPL-2.0 License
keras-preprocessing;MIT License (text)
yarl;Apache-2.0 License
adal;MIT License (text)
networkx;License not permissive (text)
zope-interface;License not permissive (text)
django;License not permissive (text)
ujson;License not permissive (text)
py4j;License not permissive (text)
keras-applications;MIT License (text)
pymysql;MIT License
datadog;License not permissive (text)
cloudpickle;License not permissive (text)
qtconsole;BSD-3-Clause License
dnspython;ISC License (text)
mako;MIT License
jupyter;BSD-3-Clause License
tensorflow-metadata;Apache-2.0 License
xlrd;License not permissive (text)
pycrypto;EPL (text)
astor;BSD-3-Clause License
backcall;BSD-3-Clause License
backports-functools-lru-cache;MIT License
cython;Apache License (text)
azure-devops;MIT License
pycryptodomex;License not permissive (text)
msgpack;Apache License (text)
greenlet;MIT License (text)
smart-open;MIT License
xmltodict;MIT License
google-pasta;Apache-2.0 License
backports-shutil-get-terminal-size;MIT License
google-cloud-logging;Apache-2.0 License
elasticsearch;Apache-2.0 License
tensorflow-transform;Apache-2.0 License
python-editor;Apache-2.0 License
ansible;GPL-3.0 License
gitdb2;License not permissive (text)
tzlocal;MIT License
msrestazure;MIT License
distro;Apache-2.0 License
importlib-resources;Apache License (text)
grpc-google-iam-v1;Apache-2.0 License
jsonpickle;License not permissive (text)
backports-abc;Python Software Foundation (text)
functools32;Python Software Foundation (text)
ruamel-yaml;MIT License
pyspark;Apache-2.0 License
websockets;BSD-3-Clause License
nltk;Apache-2.0 License
gevent;MIT License (text)
gensim;LGPL-2.1 License
cached-property;BSD-3-Clause License
s3fs;License not permissive (text)
monotonic;Apache-2.0 License
singledispatch;MIT License
smmap2;BSD-3-Clause License
pathspec;MPL-2.0 License
marshmallow;MIT License
tfx-bsl;Apache License (text)
nose;License not found
subprocess32;Python Software Foundation (text)
slackclient;MIT License
selenium;Apache-2.0 License
opencv-python;MIT License (text)
html5lib;MIT License
qtpy;MIT License
pytest-runner;MIT License
applicationinsights;MIT License
toolz;License not permissive (text)
mypy;MIT License (text)
xlsxwriter;License not permissive (text)
sentry-sdk;BSD-2-Clause License
snowballstemmer;BSD-3-Clause License
pandas-gbq;BSD-3-Clause License
sortedcontainers;Apache License (text)
text-unidecode;License not permissive (text)
xgboost;Apache-2.0 License
amqp;License not permissive (text)
netaddr;License not permissive (text)
tensorflow-model-analysis;Apache-2.0 License
kubernetes;Apache-2.0 License
tensorflow-data-validation;Apache-2.0 License
fsspec;BSD-3-Clause License
pydata-google-auth;BSD-3-Clause License
thrift;Apache-2.0 License
keras;Apache License (text)
plotly;MIT License
celery;License not permissive (text)
snowflake-connector-python;Apache License (text)
ijson;License not permissive (text)
billiard;License not permissive (text)
jdcal;BSD-2-Clause License
mysqlclient;GPL-2.0 License
sphinx;License not permissive (text)
unidecode;GPL-2.0 License
google-cloud-pubsub;Apache-2.0 License
virtualenv-clone;MIT License
gcsfs;BSD-3-Clause License
mypy-extensions;MIT License (text)
djangorestframework;License not permissive (text)
tox;MIT License
lightgbm;MIT License
argcomplete;Apache-2.0 License
shapely;License not permissive (text)
oscrypto;MIT License
opt-einsum;MIT License
arrow;Apache-2.0 License
pyodbc;License not permissive (text)
statsmodels;BSD-3-Clause License
databricks-cli;Apache License (text)
vine;License not permissive (text)
pipenv;MIT License
ecdsa;License not permissive (text)
black;MIT License
docker-pycreds;Apache-2.0 License
fasteners;Apache-2.0 License
alabaster;License not permissive (text)
imagesize;MIT License
python-jose;MIT License
graphviz;MIT License
dask;BSD-3-Clause License
pytest-mock;MIT License
pyhamcrest;License not permissive (text)
pytest-forked;MIT License
backports-weakref;Python Software Foundation (text)
imageio;BSD-2-Clause License
scikit-image;License not permissive (text)
hdfs;MIT License
tenacity;Apache-2.0 License
iso8601;MIT License
setuptools-scm;MIT License
flask-cors;MIT License
inflection;MIT License
python-dotenv;License not permissive (text)
discord-py;MIT License
twisted;License not permissive (text)
hvac;Apache-2.0 License
flask-sqlalchemy;BSD-3-Clause License
aliyun-python-sdk-core;Apache License (text)
unicodecsv;License not permissive (text)
fastavro;MIT License
incremental;License not permissive (text)
secretstorage;License not permissive (text)
google-cloud-datastore;Apache-2.0 License
execnet;MIT License
pywavelets;MIT License
faker;MIT License
aliyunsdkcore;Apache-2.0 License
google-cloud-bigtable;Apache-2.0 License
apipkg;MIT License
raven;BSD-3-Clause License
seaborn;BSD-3-Clause License
constantly;License not permissive (text)
texttable;MIT License
automat;MIT License
bottle;MIT License
hyperlink;License not permissive (text)
pytest-xdist;MIT License
s3cmd;GPL-2.0 License
blessings;MIT License
patsy;Python Software Foundation (text)
ua-parser;License not found
python-magic;MIT License (text)
querystring-parser;MIT License
azure-datalake-store;MIT License (text)
pendulum;MIT License
jsonpointer;License not permissive (text)
mlflow;Apache-2.0 License
humanfriendly;MIT License
responses;Apache-2.0 License
ndg-httpsclient;License not found
pytzdata;MIT License
prettytable;License not permissive (text)
keyring;MIT License
fuzzywuzzy;GPL-2.0 License
dockerpty;Apache-2.0 License
retry;Apache License (text)
deprecated;MIT License
pydot;MIT License
cssselect;License not permissive (text)
service-identity;MIT License
watchdog;Apache License (text)
freezegun;Apache-2.0 License
docker-compose;Apache-2.0 License
maxminddb;Apache-2.0 License
configobj;License not permissive (text)
statsd;MIT License
blinker;MIT License
python-levenshtein;GPL-2.0 License
backoff;MIT License
jsonpatch;License not permissive (text)
geopy;MIT License
python-json-logger;BSD-2-Clause License
google-gax;BSD-3-Clause License
deepdiff;MIT License (text)
gorilla;MIT License
kafka-python;Apache-2.0 License
readme-renderer;Apache-2.0 License
google-apitools;Apache-2.0 License
netifaces;MIT License
wtforms;BSD-3-Clause License
bz2file;License not found
tldextract;BSD-3-Clause License
cachecontrol;License not found
geoip2;Apache-2.0 License
colorlog;MIT License
jsondiff;MIT License
autopep8;MIT License
uwsgi;MIT License
requests-file;Apache License (text)
semantic-version;BSD-2-Clause License
pyhive;Apache License (text)
django-cors-headers;MIT License
idna-ssl;MIT License
asgiref;BSD-3-Clause License
google-cloud;Apache-2.0 License
pathtools;MIT License
torch;License not permissive (text)
pyproj;License not permissive (text)
sendgrid;MIT License
croniter;License not found
zope-deprecation;License not permissive (text)
pytest-timeout;MIT License
llvmlite;BSD-2-Clause License
python-http-client;MIT License
elasticsearch-dsl;Apache-2.0 License
uvloop;Apache License (text)
django-filter;License not permissive (text)
pysocks;License not permissive (text)
munch;MIT License
pyserial;License not permissive (text)
numba;BSD-2-Clause License
graphql-core;MIT License
django-extensions;MIT License
azure-cosmosdb-table;Apache-2.0 License
scp;License not permissive (text)
user-agents;MIT License
pycurl;License not permissive (text)
aws-xray-sdk;Apache-2.0 License
rfc3986;Apache License (text)
tblib;BSD-2-Clause License
jpype1;Apache License (text)
flask-wtf;License not permissive (text)
voluptuous;BSD-3-Clause License
portalocker;Python Software Foundation (text)
nodeenv;License not permissive (text)
python-slugify;MIT License
sphinx-rtd-theme;MIT License (text)
pika;BSD-3-Clause License
identify;MIT License
gspread;MIT License
holidays;MIT License
sh;MIT License
webob;License not found
pymssql;LGPL-2.1 License
promise;MIT License
pre-commit;MIT License
codecov;Apache-2.0 License
python-pam;MIT License
pywin32;License not found
cerberus;ISC License
hiredis;BSD-3-Clause License
requests-aws4auth;MIT License
cfgv;MIT License
spacy;MIT License
configargparse;MIT License
ipdb;License not permissive (text)
argh;LGPL-3.0 License
prometheus-flask-exporter;MIT License
flask-login;MIT License
dataclasses;Apache-2.0 License
pyaml;WTFPL License
thinc;MIT License
google-cloud-spanner;Apache-2.0 License
h11;MIT License
factory-boy;MIT License
sqlalchemy-utils;License not permissive (text)
lz4;License not permissive (text)
preshed;MIT License
influxdb;MIT License
jira;BSD-2-Clause License
newrelic;Apache-2.0 License
datetime;License not permissive (text)
aws-sam-translator;Apache-2.0 License
murmurhash;MIT License
requests-mock;Apache-2.0 License
moto;Apache-2.0 License
coloredlogs;MIT License
django-storages;BSD-3-Clause License
multiprocess;License not permissive (text)
simple-salesforce;Apache License (text)
cymem;MIT License
aenum;License not found
python3-openid;Apache-2.0 License
pyrfc3339;MIT License
plac;BSD-2-Clause License
shellingham;ISC License
stripe;MIT License
phonenumbers;Apache-2.0 License
pyglet;BSD-3-Clause License
flask-restful;BSD-3-Clause License
waitress;License not permissive (text)
google-cloud-monitoring;Apache-2.0 License
twine;Apache-2.0 License
setproctitle;License not permissive (text)
pytest-django;License not permissive (text)
cfn-lint;License not permissive (text)
blis;License not permissive (text)
bokeh;BSD-3-Clause License
ddtrace;License not permissive (text)
youtube-dl;Unlicense License
srsly;MIT License
pygithub;LGPL-3.0 License
appnope;License not permissive (text)
httptools;MIT License
zope-event;License not permissive (text)
aiofiles;Apache-2.0 License
watchtower;Apache-2.0 License
yamllint;GPL-3.0 License
pydocumentdb;MIT License
threadpoolctl;BSD-3-Clause License
parsedatetime;Apache-2.0 License
fabric;BSD-2-Clause License
pydocstyle;MIT License
numexpr;MIT License
pypandoc;Modified BSD License (text)
cx-oracle;License not permissive (text)
pycairo;LGPL (text)
humanize;MIT License
phoenixdb;License not found
wasabi;MIT License
hpack;MIT License
ordered-set;MIT License
pathos;License not permissive (text)
h2;MIT License
pystache;MIT License
hyperframe;MIT License
django-debug-toolbar;BSD-3-Clause License
parse;MIT License
pyxdg;License not permissive (text)
progressbar2;BSD-3-Clause License
tomlkit;MIT License
supervisor;License not permissive (text)
pox;License not permissive (text)
pycountry;LGPL-2.1 License
backports-tempfile;Python Software Foundation (text)
linecache2;License not found
python-utils;BSD-3-Clause License
ldap3;License not permissive (text)
itypes;License not permissive (text)
coreapi;License not permissive (text)
google-cloud-firestore;Apache-2.0 License
xlwt;LGPL (text)
lunardate;GPL-3.0 License
coreschema;License not found
pytest-metadata;License not permissive (text)
pytest-html;License not permissive (text)
pystan;ISC License
semver;BSD-3-Clause License
traceback2;Python Software Foundation (text)
pip-tools;License not permissive (text)
pyperclip;BSD-3-Clause License
pygobject;LGPL-2.1 License
ppft;License not permissive (text)
redis-py-cluster;MIT License
inflect;MIT License
opentracing;Apache-2.0 License
azure-cli;MIT License
expiringdict;Apache-2.0 License
click-plugins;License not permissive (text)
pygsheets;MIT License (text)
confluent-kafka;Apache-2.0 License
dicttoxml;GPL-2.0 License
sasl;Apache-2.0 License
structlog;Apache License (text)
distributed;License not permissive (text)
dateparser;BSD-3-Clause License
mmh3;CC0-1.0 License
sympy;License not permissive (text)
w3lib;License not permissive (text)
apscheduler;MIT License
twilio;MIT License
feedparser;License not permissive (text)
pydantic;MIT License
fire;Apache License (text)
django-redis;License not permissive (text)
gym;License not permissive (text)
hypothesis;Mozilla Public License (text)
apispec;MIT License
aspy-yaml;MIT License
whitenoise;MIT License
cligj;BSD-3-Clause License
eventlet;MIT License (text)
rx;MIT License
glob2;License not permissive (text)
uptime;BSD-2-Clause License
marshmallow-sqlalchemy;MIT License
tensorboard-plugin-wit;Apache-2.0 License
azure-kusto-data;MIT License
parameterized;License not permissive (text)
heapdict;License not permissive (text)
flask-admin;BSD-3-Clause License
flask-migrate;MIT License
astunparse;Python Software Foundation (text)
ratelimit;MIT License
convertdate;MIT License
fiona;License not permissive (text)
zict;License not permissive (text)
yapf;Apache-2.0 License
slacker;Apache-2.0 License
thrift-sasl;Apache-2.0 License
python-consul;MIT License
flask-caching;License not permissive (text)
poetry;MIT License
google-cloud-vision;Apache-2.0 License
python-mimeparse;MIT License
stringcase;MIT License
josepy;Apache License (text)
html2text;GPL-3.0 License
binaryornot;BSD-3-Clause License
flask-babel;License not permissive (text)
zope-component;License not permissive (text)
shap;MIT License
acme;Apache License (text)
msal;MIT License (text)
deprecation;Apache-2.0 License
cleo;MIT License
cookiecutter;BSD-3-Clause License
requests-futures;Apache License (text)
blobfile;Unlicense License
pastel;MIT License
poyo;MIT License
fakeredis;License not permissive (text)
filemagic;Apache License (text)
pylev;License not permissive (text)
brotli;MIT License
torchvision;BSD-3-Clause License
setuptools-git;License not permissive (text)
jinja2-time;MIT License
bandit;Apache-2.0 License
sentencepiece;Apache-2.0 License
fbprophet;MIT License
findspark;BSD-3-Clause License
koalas;Apache-2.0 License
sshpubkeys;BSD-3-Clause License
cachy;MIT License
geojson;BSD-3-Clause License
zope-proxy;License not permissive (text)
zope-hookable;License not permissive (text)
uamqp;MIT License
mysql-python;License not found
multipledispatch;License not permissive (text)
qds-sdk;Apache-2.0 License
hyperopt;License not permissive (text)
cognite-sdk;Apache-2.0 License
zope-deferredimport;License not permissive (text)
whichcraft;BSD-3-Clause License
multi-key-dict;MIT License
tftpy;MIT License
jellyfish;BSD-2-Clause License
python-memcached;License not found
jaraco-functools;MIT License
pyvcf;License not permissive (text)
google-cloud-kms;Apache-2.0 License
kazoo;Apache-2.0 License
cheroot;BSD-3-Clause License
python-snappy;License not permissive (text)
pg8000;License not permissive (text)
emoji;License not permissive (text)
dj-database-url;BSD-2-Clause License
knack;MIT License
geopandas;BSD-3-Clause License
pycares;MIT License
cherrypy;BSD-3-Clause License
validators;MIT License
cattrs;MIT License
pytest-asyncio;Apache-2.0 License
sniffio;License not permissive (text)
parsel;License not permissive (text)
prison;MIT License
flower;License not permissive (text)
pymeeus;LGPL-3.0 License
django-appconf;BSD-3-Clause License
ephem;MIT License (text)
google-cloud-language;Apache-2.0 License
tinycss2;BSD-3-Clause License
ml-metadata;Apache-2.0 License
flask-appbuilder;BSD-3-Clause License
webtest;License not permissive (text)
haversine;MIT License
apache-airflow;Apache-2.0 License
cliff;Apache-2.0 License
queuelib;License not permissive (text)
jsonpath-rw;Apache-2.0 License
imbalanced-learn;MIT License
hstspreload;BSD-3-Clause License
flask-jwt-extended;MIT License
basictracer;Apache-2.0 License
async-generator;License not permissive (text)
httpx;BSD-3-Clause License
jsmin;MIT License
mpmath;BSD-3-Clause License
tempora;MIT License
msal-extensions;MIT License
google-cloud-error-reporting;Apache-2.0 License
altgraph;License not permissive (text)
googledatastore;Apache-2.0 License
plumbum;MIT License
olefile;License not permissive (text)
backports-csv;License not permissive (text)
testfixtures;MIT License
pulp;License not permissive (text)
cairocffi;BSD-3-Clause License
utm;MIT License
rospkg;License not found
cmd2;MIT License
portend;MIT License
flask-swagger;MIT License
terminaltables;MIT License
scrapy;License not permissive (text)
s2sphere;MIT License
junit-xml;MIT License
commonmark;License not permissive (text)
parse-type;BSD-3-Clause License
bitarray;Python Software Foundation (text)
sanic;MIT License
aiodns;MIT License
cssselect2;BSD-3-Clause License
pylint-plugin-utils;GPL-2.0 License
ntlm-auth;MIT License
tensorflow-hub;Apache-2.0 License
datashape;BSD-2-Clause License
cairosvg;LGPL-3.0 License
flask-restplus;BSD 3-Clause License (text)
dogpile-cache;MIT License
zc-lockfile;License not permissive (text)
boltons;License not permissive (text)
clikit;MIT License
pynamodb;MIT License
qrcode;MIT License (text)
graphene;MIT License
fastparquet;Apache-2.0 License
unittest-xml-reporting;License not permissive (text)
tdigest;MIT License
wandb;MIT License
accumulation-tree;MIT License
google-cloud-translate;Apache-2.0 License
pypika;Apache-2.0 License
ciso8601;MIT License
google-cloud-videointelligence;Apache-2.0 License
flask-bcrypt;License not permissive (text)
flask-openid;License not permissive (text)
sortedcollections;Apache License (text)
catalogue;MIT License
cfn-flip;Apache-2.0 License
statistics;Python Software Foundation (text)
python-swiftclient;Apache-2.0 License
sshtunnel;MIT License
recommonmark;MIT License
tablib;MIT License
aioopenssl;Apache-2.0 License
pyphen;LGPL (text)
pytest-rerunfailures;License not permissive (text)
aiosasl;LGPL-3.0 License
aioconsole;GPL-3.0 License
graphql-relay;MIT License
fonttools;MIT License (text)
email-validator;CC0-1.0 License
requests-ntlm;ISC License
pyluach;MIT License (text)
scikit-optimize;BSD-3-Clause License
python-docx;MIT License
coveralls;MIT License
testtools;Python Software Foundation (text)
django-model-utils;BSD-3-Clause License
google-cloud-speech;Apache-2.0 License
numpy-stl;BSD-3-Clause License
natsort;MIT License
cookies;MIT License
aioxmpp;LGPL-3.0 License
jupyterlab;License not permissive (text)
flaky;Apache-2.0 License
jaydebeapi;LGPL-3.0 License
ray;Apache-2.0 License
flask-script;License not permissive (text)
json-merge-patch;BSD-3-Clause License
extras;License not permissive (text)
shortuuid;BSD-3-Clause License
drf-yasg;License not permissive (text)
theano;License not permissive (text)
bumpversion;MIT License
partd;License not permissive (text)
cvxopt;LGPL (text)
memoized-property;BSD-3-Clause License
milksnake;Apache-2.0 License
fortnitepy;MIT License
easyprocess;BSD-2-Clause License
robotframework;Apache License (text)
dpath;MIT License
tfx;Apache-2.0 License
fixtures;Apache License (text)
tensorflow-datasets;Apache-2.0 License
dotnetcore2;MIT License (text)
objectpath;MIT License
mujoco-py;License not permissive (text)
behave;License not permissive (text)
mongoengine;MIT License
python-ldap;License not permissive (text)
googleads;Apache-2.0 License
vcrpy;MIT License
weasyprint;BSD-3-Clause License
pylint-django;GPL-2.0 License
pep8-naming;Expat License (text)
python-crfsuite;MIT License
pybind11;License not permissive (text)
pkgconfig;MIT License
django-crispy-forms;MIT License
authlib;BSD 3-Clause License (text)
locket;BSD-2-Clause License
asyncio;License not found
opencensus;Apache-2.0 License
cytoolz;License not permissive (text)
python-box;MIT License
django-environ;MIT License
pygame;License not found
pyelftools;License not permissive (text)
instana;MIT License
rq;License not permissive (text)
ftfy;MIT License
meld3;License not permissive (text)
livereload;BSD-3-Clause License
pyinstaller;Apache License (text)
click-completion;MIT License
json5;Apache-2.0 License
tweepy;MIT License
django-timezone-field;BSD-2-Clause License
typing-inspect;MIT License
atlassian-jwt-auth;MIT License
webargs;MIT License
schema;MIT License
fysom;License not found
yq;Apache-2.0 License
bitstring;MIT License
pygam;Apache-2.0 License
troposphere;BSD-2-Clause License
cloudant;Apache-2.0 License
falcon;Apache-2.0 License
autowrapt;BSD-2-Clause License
jupyterlab-server;BSD-3-Clause License
couchdb;License not permissive (text)
mleap;Apache-2.0 License
uvicorn;BSD-3-Clause License
