Vuln ID;Severity;Package name;Clone dir;Commit hash
1;M;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94
2;M;aiohttp-session;aiohttp-session;1b356f01bbab57d041c9a75bacd72fbbf8524728
3;M;aiohttp-session;aiohttp-session;6b7864004d3442dbcfaf8687f63262c1c629f569
4;H;aioxmpp;aioxmpp;29ff0838a40f58efe30a4bbcea95aa8dab7da475
5;M;ansible;ansible;bfea16c4f741d4cd10c8e17bf7eed14240345cb5
6;M;ansible;ansible;e41d1f0a3fd6c466192e7e24accd3d1c6501111b
7;M;ansible;ansible;0785772a03470fd2879d2f613520284997dc9dd0
8;M;ansible;ansible;dc79528cc6609ccef41a4e9708973b992851ab31
9;H;ansible;ansible;88416b627caac5f0f4bff335d5387e0bcca938ca
10;H;ansible;ansible;7d2ae7e3226cdc8e37aea83c202aeb0e7e5a1aec
11;M;ansible;ansible;642a3b4d3133d0cff3ea5b8300757045b2bda09d
12;M;ansible;ansible;d728127310b4f3a40ce8b9df3affb88ffaeea073
13;H;ansible;ansible;8ed6350e65c82292a631f08845dfaacffe7f07f5
14;L;ansible;ansible;4c6d714aefb05366cb329e139214c89ebb364899
15;M;ansible;ansible;8c1f701e6e9df29fe991f98265e2dd76acca4b8c
16;H;ansible;ansible;a0aa53d1a1d6075a7ae98ace138712ee6cb45ae4
17;H;ansible;ansible;ed56f51f185a1ffd7ea57130d260098686fcc7c2
18;H;ansible;ansible;files
19;H;ansible;ansible;8c6fe646ee79f5e55361b885b7efed5bec72d4a4
20;H;ansible;ansible;998793fd0ab55705d57527a38cee5e83f535974c
21;L;ansible-runner;ansible-runner;dd2e549c6aadca4fb4f2cde11f1d4dca4b98964f
22;H;anyconfig;python-anyconfig;4ab8770972fbd689d7152e572380fa9fbe88df05
23;M;apache-airflow;airflow;24a54242d56058846c7978130b3f37ca045d5142
24;M;apache-airflow;airflow;89f015e6c89392b6de61dab8ab90182e6ee42b74
25;M;apache-airflow;airflow;04cacdd0a7526927137b452f38c3e894a5d2ce4a
26;M;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b
27;M;apache-airflow;airflow;673026c740411cc6447aede8c6a816460fe03a59
28;L;asyncpg;asyncpg;69bcdf5bf7696b98ee708be5408fd7d854e910d0
29;H;asyncssh;asyncssh;d0f0725371a5082f1b88b5c23b438c0edf07846a
30;H;asyncssh;asyncssh;c161e26cdc0d41b745b63d9f17b437f073bf7ba4
31;L;autobahn;autobahn-python;b22cf13ad9d581a744eb90108ae9a9d19af08f88
32;M;awscli;aws-cli;6080bb0b302b59149a305bfa0a6a7c92a07d1ea5
33;M;bbcode;bbcode;e23f5ae9f9e42a9988a52b8b39815593c264f3ce
34;M;bbcode;bbcode;116cb2067003e6c6f679ed3a34e9e00a97a332cf
35;M;beaker;beaker;91becae76101cf87ce8cbfabe3af2622fc328fe5
36;M;bleach;bleach;79b7a3c5e56a09d1d323a5006afa59b56162eb13
37;M;bleach;bleach;e4e9e21e7aebff40c88fafa4319bba4636a602d9
38;M;bleach;bleach;996cde7a2439a2323f9c4b2567c8b8449d393351
39;M;boto;boto;8b65a6c250d0548d9ffe6393842931f59f793c77
40;L;boto3;boto3;5a4396a4e0d1b337c081cb4095e5255da915198e
41;M;bottle;bottle;6d7e13da0f998820800ecb3fe9ccee4189aefb54
42;M;bson;bson;430c1a72c2c3669ce46ba28b4a813a2b12d07f31
43;M;cairosvg;cairosvg;cfc9175e590531d90384aa88845052de53d94bf3
44;H;cairosvg;cairosvg;212f6b9114a7bccf899c5fcd2baa42ea5391fa00
45;M;certifi;python-certifi;4f35e3529c78ced74040cf5d80bf8ec4aac9a190
46;M;channels;channels;a1ecd5ee72a538f19bdd9e8f6bb91bb8aabba5d9
47;M;channels-redis;channels_redis;c13b3453f976e23a617fc55f9748609c1692c8f0
48;M;cheroot;cheroot;040f7bf687fb2c2ae5b98d0c15de65fdb7682a30
49;H;cherrypy;cherrypy;7e6187ee19a90ebe7f8597296bfa942cd1eb1864
50;H;clickhouse-driver;clickhouse-driver;3e990547e064b8fca916b23a0f7d6fe8c63c7f6b
51;M;codecov;codecov-python;f2c93c7893847e50639416c1bc2e38cb375825d8
52;M;codecov;codecov-python;2a80aa434f74feb31242b6f213b75ce63ae97902
53;M;colander;colander;98805557c10ab5ff3016ed09aa2d48c49b9df40b
54;M;confluent-kafka;confluent-kafka-python;8f7a4c858afc8ff24672426473448c3e0c56cfc3
55;M;cryptography;cryptography;06cbf77371881e80ea4b5e349136dcc53749fc0c
56;H;cryptography;cryptography;58494b41d6ecb0f56b7c5f05d5f5e3ca0320d494
57;H;cryptography;cryptography;688e0f673bfbf43fa898994326c6877f00ab19ef
58;H;cryptography;cryptography;b924696b2e8731f39696584d12cceeb3aeb2d874
59;M;cryptography;cryptography;41aabcbd2326ae154a16a1a050ee01fb9a54bd19
60;M;django;django;be8237c7cce24b06aabde0b97afce98ddabbe3b6
61;L;django;django;05413afa8c18cdb978fcdf470e09f7a12b234a23
62;M;django;django;07e59caa02831c4569bbebb9eb773bdd9cb4b206
63;M;django;django;6d61860b22875f358fac83d903dc629897934815
64;M;django;django;11c5e0609bcc0db93809de2a08e0dc3d70b393e4
65;H;django;django;54d0f5e62f54c29a12dd96f44bacd810cbe03ac8
66;L;django;django;afddabf8428ddc89a332f7a78d0d21eaf2b5a673
67;M;django;django;40cd19055773705301c3428ed5e08a036d2091f3
68;M;django;django;1ecc0a395
69;M;django;django;f5335bc745d4f86d355b69549712885fd1634574
70;L;django;django;67b46ba7016da2d259c1ecc7d666d11f5e1cfaab
71;H;django;django;c5544d289233f501917e25970c03ed444abbd4f0
72;M;django;django;316bc3fc9437c5960c24baceb93c73f1939711e4
73;L;django;django;2b31342cdf14fc20e07c43d258f1e7334ad664a6
74;M;django;django;732198ed5c
75;M;django;django;6819be1ea1
76;H;django-anymail;django-anymail;1a6086f2b58478d71f89bf27eb034ed81aefe5ef
77;H;django-anymail;django-anymail;c07998304b4a31df4c61deddcb03d3607a04691b
78;L;django-cacheops;django-cacheops;adba2dc9908c50157d417fd7564669c11ed23b2a
79;M;django-hashid-field;django-hashid-field;2a0be45333c5a700bbba0e15533ff8dce589e956
80;M;django-haystack;django-haystack;1b1b986890b5cb330b0b8a963b090e9b831c198c
81;H;django-js-reverse;django-js-reverse;78d6aff2276f2d341f643b095515f8aaba5e67c2
82;M;django-oauth-toolkit;django-oauth-toolkit;83367ffe5ad1046f5a5338537a8655cb1c16400d
83;H;django-registration;django-registration;3a2e0182ff92cc8ce39a932e463cbac37e485afa
84;M;djangorestframework;django-rest-framework;75a489150ae24c2f3c794104a8e98fa43e2c9ce9
85;M;django-rest-framework;django-rest-framework;4121b01b912668c049b26194a9a107c27a332429
86;M;django-revproxy;django-revproxy;e9b4dfd162c73adbad6077355c9420d0c40d4f3f
87;M;django-select2;django-select2;4a1b83ad1e9b2523961a0f23706c70b01683494f
88;M;django-storages;django-storages;6ee6a739752923c60eaa1e82262c1d07208ec7f6
89;H;django-tastypie;django-tastypie;e8af315211b07c8f48f32a063233cc3f76dd5bc2
90;M;django-two-factor-auth;django-two-factor-auth;454fd9842fa6e8bb772dbf0943976bc8e3335359
91;M;django-user-sessions;django-user-sessions;f0c4077e7d1436ba6d721af85cee89222ca5d2d9
92;M;djoser;djoser;fcd20f302fd1d5d37319b42094ad070f17ed36cc
93;H;djoser;djoser;73b84926d9566df12d48245b06c5d5c986bbb272
94;M;dynamodb-encryption-sdk;aws-dynamodb-encryption-python;90606ec9af7c2b5cb338d64639a62ee867d38d6b
95;M;ecdsa;python-ecdsa;ec735edde187a43693197f6fa3667ceade751a3a
96;H;elastic-apm;apm-agent-python;47286d746e05897c6b3af8d465aa56ab1ed8d678
97;M;facebook-sdk;facebook-sdk;3fc17fa91feacba3b2188dcd6033962dd7c89326
98;L;flask;flask;aeed530e3221c1b445c13269dcd2fb67548bcefc
99;M;flask-admin;flask-admin;75e51ebca2c4ef236854cfe88a237177813d39c1
100;M;flask-admin;flask-admin;0dc5a48fd0a4fdd28172e0bc508373ddb58fc50b
101;M;flask-admin;flask-admin;f447db0c78c03235d0dd6bdce0c5365fc6a7c321
102;M;flask-appbuilder;flask-appbuilder;08942c100174a111af41ff90e5444253b83d6294
103;M;flower;flower;ba454515ee13a2940e728dabfec25b136cce8a23
104;H;gdal;gdal;148115fcc40f1651a5d15fa34c9a8c528e7147bb
105;M;graphite-web;graphite-web;4a9f98647be279a39a982bd94922fdec710b0b3f
106;M;gunicorn;gunicorn;c5be1bae5c42b1e600be22d0655fc3ec4e4711cb
107;H;gunicorn;gunicorn;6c3d8f9c205f541a6ae0a1d5eba32b1cfca252ee
108;M;homeassistant;core;0f12b37977766647dcc34a0189b37c7379b5f665
109;H;httpie;httpie;df36d6255df5793129b02ac82f1010171bd8a0a8
110;H;httplib2;httplib2;bd9ee252c8f099608019709e22c0d705e98d26bc
111;H;httplib2;httplib2;a1457cc31f3206cf691d11d2bf34e98865873e9e
112;M;imageio;imageio;5b398716d518cd14e8b978ea3cd8ec6c0236c1d8
113;M;ipython;ipython;0a8096adf165e2465550bd5893d7e352544e5967
114;H;jinja2;jinja;9b53045c34e61013dc8f09b7e52a555fa16bed16
115;M;jinja2;jinja;acb672b6a179567632e032f547582f30fa2f4aa7
116;M;jinja2;jinja;acb672b6
117;M;jwcrypto;jwcrypto;eb5be5bd94c8cae1d7f3ba9801377084d8e5a7ba
118;M;luigi;luigi;06e3d9163c36f347cef09d9442aff55a10660f31
119;M;luigi;luigi;695079822e6329614d16595c626f466c75446b70
120;H;lxml;lxml;a105ab8dc262ec6735977c25c13f0bdfcdec72a7
121;M;lxml;lxml;0245aba002f069a0b157282707bdf77418d1b5be
122;M;lxml;lxml;6be1d081b49c97cfd7b3fbd934a193b668629109
123;H;markdown2;python-markdown2;7b651260739647de5198323e0445b1618750c374
124;M;markdown2;python-markdown2;1b1dcdd727c0ef03453b9f5ef5ae3679f1d72323
125;M;marshmallow;marshmallow;98f2b4759c9a7c7ac5e790727d47f2b328520713
126;M;mistune;mistune;5f06d724bc05580e7f203db2d4a4905fc1127f98
127;H;mitmproxy;mitmproxy;d027891cec67e190403fc4fa73f17d7a74f02720
128;M;msgpack;msgpack-python;3b80233592674d18c8db7a62fa56504a5a285296
129;M;nltk;nltk;f59d7ed8df2e0e957f7f247fe218032abdbe9a10
130;M;notebook;notebook;32bd47068bcd042e7a76f46f3be44d9a59143820
131;M;notebook;notebook;08c4c898182edbe97aadef1815cce50448f975cb
132;M;notebook;notebook;bfaa61385729ed4fb453863053f9a79141f01119
133;M;notebook;notebook;288b73e1edbf527740e273fcc69b889460871648
134;M;notebook;notebook;107a89fce5f413fb5728c1c5d2c7788e1fb17491
135;H;numpy;numpy;89b688732b37616c9d26623f81aaee1703c30ffb
136;M;numpy;numpy;0bb46c1448b0d3f5453d5182a17ea7ac5854ee15
137;M;oic;pyoidc;64665112587ef43a57cb09442dd5dd3d175f583e
138;H;paramiko;paramiko;56c96a659658acdbb873aef8809a7b508434dcce
139;H;paramiko;paramiko;fa29bd8446c8eab237f5187d28787727b4610516
140;H;pdoc3;pdoc;d9df475f5ab8afd2c45c920827ddd75fcb66b238
141;L;peewee;peewee;6aee106831eed8c214086a20b26f72f2abff8db5
142;H;pillow;pillow;756fff33128a0b643d10518a26ad04b726dd8973
143;H;pillow;pillow;4853e522bddbec66022c0915b9a56255d0188bf9
144;H;pillow;pillow;3bce145966374dd39ce58a6fc0083f8d1890719c
145;M;pillow;pillow;46f4a349b88915787fea3fb91348bb1665831bbb
147;M;pillow;pillow;6a83e4324738bb0452fbe8074a995b1c73f08de7
148;H;pillow;pillow;4e2def2539ec13e53a82e06c4b3daf00454100c4
149;H;pillow;pillow;a79b65c47c7dc6fe623aadf09aa6192fc54548f3
150;H;pillow;pillow;93b22b846e0269ee9594ff71a72bec02d2bea8fd
151;H;pillow;pillow;a09acd0decd8a87ccce939d5ff65dab59e7d365b
152;H;pillow;pillow;d8f55e3f50b0df2c850d15deedb46cb0e33a4cd8
153;M;pillow;pillow;4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7
154;H;pip;pip;a4c735b14a62f9cb864533808ac63936704f2ace
155;H;platformio;platformio-core;798b12ce7b097fdcb5056d84054fe157aa12a9ff
156;H;psutil;psutil;29815d3a144a4f8a48f91e6d849ff4ba85f69cb1
157;M;py;py;4a9017dc6199d2a564b6e4b0aa39d6d8870e4144
158;H;pycrypto;pycrypto;8dbe0dc3eea5c689d4f76b37b93fe216cf1f00d4
159;H;pygments;pygments;2e7e8c4a7b318f4032493773732754e418279a14
160;H;pyinstaller;pyinstaller;42a67148b3bdf9211fda8499fdc5b63acdd7e6cc
161;H;pykmip;pykmip;06c960236bcaf6717fc5cf66cf8b5179804c5a05
162;H;pylint;pylint;5405dd5115d598fa69e49538d50ec79202b1b52e
163;M;pyomo;pyomo;00dbf2678430cc8dd8a5c30c7d9bc7974925cca4
164;M;pyopenssl;pyopenssl;e73818600065821d588af475b024f4eb518c3509
165;M;pypiserver;pypiserver;1375a67c55a9b8d4619df30d2a1c0b239d7357e6
166;M;pypiserver;pypiserver;2caabfd5aa57ff03df5dd65f1b1823cf6639bdc8
167;H;pyramid;pyramid;d0f62591ceb2f6ba6efe98ccf75703e7baee687e
168;M;pyramid;pyramid;67efda77a878450c217b90370e1a47e2d35d772a
169;M;pysaml2;pysaml2;751dbf50a51131b13d55989395f9b115045f9737
170;M;pysaml2;pysaml2;3b707723dcf1bf60677b424aac398c0c3557641d
171;M;pysaml2;pysaml2;5e9d5acbcd8ae45c4e736ac521fd2df5b1c62e25
172;M;pysaml2;pysaml2;79d679883f0b198511ea5eeaaf53f1f625e8d938
173;M;pyspark;spark;09dd34cb1706f2477a89174d6a1a0f17ed5b0a65
174;M;python3-saml;python3-saml;61eacb44d5789bd96edd11309a2bcae66e0d725f
175;H;python-levenshtein;python-levenshtein;c335ac0167f7ebb4a7b01ecd7581f7a03aa71187
176;H;pyyaml;pyyaml;a001f2782501ad2d24986959f0239a354675f9dc
177;H;pyyaml;pyyaml;5080ba513377b6355a0502104846ee804656f1e0
178;H;pyyaml;pyyaml;bbcf95fa051fdba9bbf879332e2f7999b195cf95
179;H;recurly;recurly-client-python;049c74699ce93cf126feff06d632ea63fba36742
180;H;requests;requests;c45d7c49ea75133e52ab22a8e9e13173938e36ff
181;M;requests;requests;3bd8afbff29e50b38f889b2f688785a669b9aafc
182;M;requests;requests;4d8cb3244e8e4f84b250c10a48e025f9a8bf6137
183;M;requests;requests;f1893c835570d72823c970fbd6e0e42c13b1f0f2
184;M;requests;requests;c3e6c41fc164d4348f8ce197bd0075aff05637af
185;M;requests-kerberos;requests-kerberos;208bebb7008796a07be0204d9b5beaa55d2373ae
186;M;rply;rply;fc9bbcd25b0b4f09bbd6339f710ad24c129d5d7c
187;M;rsa;python-rsa;93af6f2f89a9bf28361e67716c4240e691520f30
188;M;rsa;python-rsa;2310b34bdb530e0bad793d42f589c9f848ff181b
189;H;rsa;python-rsa;1681a0b2f84a4a252c71b87de870a2816de06fdf
190;H;salt;salt;812ebd3038ba1816731b5cc80e872dc330e5d81e
191;H;salt;salt;daa39c58370641913aa8d5a7a0f44254973dd66b
192;M;salt;salt;86e18b91ae006de381f71b972f1daab9239bad3c
193;H;salt;salt;6e34c2b5e5e849302af7ccd00509929c3809c658
194;M;salt;salt;22d2f7a1ec93300c34e8c42d14ec39d51e610b5c
195;H;sanic;sanic;18829e648a26d947b7e441a9d7d012a24b0adf48
196;H;scapy;scapy;0d7ae2b039f650a40e511d09eb961c782da025d9
197;M;scapy;scapy;905c80d6ed435477224c53de8850f763b04d495d
198;M;sceptre;sceptre;6d4124bdc9d4d5277c3f5cdc5eb7d6db9696b667
199;H;scrapy;scrapy;43217fd698135b4795d191f8a935f3ba0b869c54
200;M;sphinx;sphinx;1d61fd9407e6fbe82fe55cb0b938307aa0791f77
201;H;splunk-sdk;splunk-sdk-python;35ca7747b5eb327723a42053f57ea960c15892ce
202;L;suds-py3;suds-py3;2d17fcf77d303d156d24a91a7151672eada16bcd
203;M;svglib;svglib;d6d08c4323a3656ee5ebe9a072a6e6237efde800
204;M;tensorflow;tensorflow;d58c96946b2880991d63d1dacacb32f0a4dfa453
205;M;tensorflow;tensorflow;0b5662bc2be13a8c8f044d925d87fb6e56247cd8
206;M;tensorflow;tensorflow;204945b19e44b57906c9344c0d00120eeeae178a
207;M;tensorflow;tensorflow;00302787b788c5ff04cb6f62aed5a74d936e86c0
208;H;tensorflow;tensorflow;8ee24e7949a203d234489f9da2c5bf45a7d5157d
209;M;tensorflow;tensorflow;49f73c55d56edffebde4bca4a407ad69c1cae433
210;L;tensorflow;tensorflow;db4f9717c41bccc3ce10099ab61996b246099892
211;H;tensorflow;tensorflow;c89ab82a82585cdaa90bf4911980e9e845909e78
212;H;tensorflow;tensorflow;2006ef57602012939dc10d7e8961925b320d3ef6
213;M;tensorflow;tensorflow;c48431588e7cf8aff61d4c299231e3e925144df8
214;H;tensorflow;tensorflow;41335abb46f80ca644b5738550daef6136ba5476
215;L;tensorflow-gpu;tensorflow;c1e1fc899ad5f8c725dcbb6470069890b5060bc7
216;L;tensorflow-gpu;tensorflow;ebc70b7a592420d3d2f359e4b1694c236b82c7ae
217;H;tensorflow-gpu;tensorflow;0cc38aaa4064fd9e79101994ce9872c6d91f816b
218;H;tensorflow-gpu;tensorflow;8b5b9dc96666a3a5d27fad7179ff215e3b74b67c
219;H;tensorflow-gpu;tensorflow;3ade2efec2e90c6237de32a19680caaa3ebc2845
220;H;tensorflow-gpu;tensorflow;eccb7ec454e6617738554a255d77f08e60ee0808
221;M;tensorflow-gpu;tensorflow;3cbb917b4714766030b28eba9fb41bb97ce9ee02
222;M;tensorflow-gpu;tensorflow;22e07fb204386768e5bcbea563641ea11f96ceb8
223;H;tensorflow-gpu;tensorflow;390611e0d45c5793c7066110af37c8514e6a6c54
224;H;tensorflow-gpu;tensorflow;0462de5b544ed4731aa2fb23946ac22c01856b80
225;H;tensorflow-gpu;tensorflow;27b417360cbd671ef55915e4bb6bb06af8b8a832
226;M;tensorflow-gpu;tensorflow;9a133d73ae4b4664d22bd1aa6d654fec13c52ee1
227;H;tensorflow-gpu;tensorflow;33be22c65d86256e6826666662e40dbdfe70ee83
228;H;tensorflow-gpu;tensorflow;adf095206f25471e864a8e63a0f1caef53a0e3a6
229;L;tensorflow-gpu;tensorflow;da8558533d925694483d2c136a9220d6d49d843c
230;H;tensorflow-gpu;tensorflow;5ac1b9e24ff6afc465756edf845d2e9660bd34bf
231;H;thrift;thrift;798e90aa8715ed0deff68ef4784926fe2be5c0ea
232;H;thrift;thrift;d973409661f820d80d72c0034d06a12348c8705e
233;H;tqdm;tqdm;7996430e92ca0babec510fcf18d62c9f9c4e6b4d
234;M;twilio;twilio-python;022ea4cb852da3ec7cbd6da9cf09b46fc4742f99
235;M;twine;twine;29e85757559154e919c9fe0a7f5803a425628855
236;M;twisted;twisted;63a707ed62ec95fe0285ac061721bd5de81d2e37
237;H;twisted;twisted;6c61fc4503ae39ab8ecee52d10f10ee2c371d7e2
238;L;twisted;twisted;3b5942252f5f3e45862a0e12b266ab29e243cc33
239;M;ua-parser;uap-python;c81b1cbc20f9b52e09621573d3b34b7a6b7dbd73
240;M;urllib3;urllib3;8d65ea1ecf6e2cdc27d42124e587c1b83a3118b0
241;M;urllib3;urllib3;2088570a293df42b1623dd74fcff0174d0565af5
242;H;urllib3;urllib3;1dd69c5c5982fae7c87a620d487c2ebf7a6b436b
243;H;urllib3;urllib3;5d523706c7b03f947dc50a7e783758a2bfff0532
244;L;urllib3;urllib3;5e36a7096455ea94fb28b623d64e1f1bad97f822
245;M;wagtail;wagtail;d9a41e7f24d08c024acc9a3094940199df94db34
246;L;waitress;waitress;4deab9f23f9eb273971da247981aa85b7a16e946
247;H;waitress;waitress;6e46f9e3f014d64dd7d1e258eaf626e39870ee1f
248;H;waitress;waitress;575994cd42e83fd772a5f7ec98b2c56751bd3f65
249;H;waitress;waitress;11d9e138125ad46e951027184b13242a3c1de017
250;H;waitress;waitress;8eba394ad75deaf9e5cd15b78a3d16b12e6b0eba
251;H;waitress;waitress;f11093a6b3240fc26830b6111e826128af7771c3
252;M;waitress;waitress;07e21576ef272a1bbd5410ef34f479e31ee68665
253;M;waitress;waitress;7f4e0f7b9c14aba74dd1da7a030072d79ca99b6b
254;H;webargs;webargs;74fada601a31b03dca0e4ae34c7d40246dcef598
255;M;webob;webob;97041f58fcee30b37a8c0fba0108cf69c6e01330
256;M;websocket-client;websocket-client;896e7c7317def65f7f8fb27a3eed807f2e1e5386
257;H;websockets;websockets;b6a25ceb3555d0ba69e5961b8d7616e4c1aecb2b
258;H;werkzeug;werkzeug;413a978fa99f64d2abdfb8bddd1da5bf44bc52ec
259;L;werkzeug;werkzeug;84eabcaa81f60d47939ac2d43f01d01eeab598a4
260;H;werkzeug;werkzeug;00bc43b1672e662e5e3b8cecd79e67fc968fa246
261;M;werkzeug;werkzeug;1034edc7f901dd645ec6e462754111b39002bd65
262;M;werkzeug;werkzeug;7b8d887d33c768a77f40dd15ff5ac6ebbbab25b9
