Vuln ID;Severity;Package name;Clone dir;Commit hash;Release;Release type;Commit date;Release date;Time interval
1;M;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;0.16.3;patch;2015-05-30;2015-05-30;0
2;M;aiohttp-session;aiohttp-session;1b356f01bbab57d041c9a75bacd72fbbf8524728;2.7.0;minor;2018-10-12;2018-10-13;1
3;M;aiohttp-session;aiohttp-session;6b7864004d3442dbcfaf8687f63262c1c629f569;2.4.0;minor;2018-05-04;2018-05-04;0
4;H;aioxmpp;aioxmpp;29ff0838a40f58efe30a4bbcea95aa8dab7da475;0.11.0;minor;2019-01-10;2020-04-10;455
5;M;ansible;ansible;bfea16c4f741d4cd10c8e17bf7eed14240345cb5;2.8.19;patch;2021-02-05;2021-02-17;12
6;M;ansible;ansible;e41d1f0a3fd6c466192e7e24accd3d1c6501111b;2.10.6;patch;2021-02-07;2021-02-17;10
7;M;ansible;ansible;0785772a03470fd2879d2f613520284997dc9dd0;2.8.19;patch;2021-02-05;2021-02-17;12
9;H;ansible;ansible;88416b627caac5f0f4bff335d5387e0bcca938ca;2.7.16;patch;2020-01-10;2020-01-15;5
10;H;ansible;ansible;7d2ae7e3226cdc8e37aea83c202aeb0e7e5a1aec;2.10.0;minor;2019-12-10;2020-08-13;248
12;M;ansible;ansible;d728127310b4f3a40ce8b9df3affb88ffaeea073;2.7.13;patch;2019-08-12;2019-08-15;3
13;H;ansible;ansible;8ed6350e65c82292a631f08845dfaacffe7f07f5;1.7.0;minor;2014-07-01;2014-08-06;35
15;M;ansible;ansible;8c1f701e6e9df29fe991f98265e2dd76acca4b8c;2.8.0;minor;2018-11-26;2019-05-16;175
16;H;ansible;ansible;a0aa53d1a1d6075a7ae98ace138712ee6cb45ae4;2.8.0;minor;2018-10-22;2019-05-16;209
17;H;ansible;ansible;ed56f51f185a1ffd7ea57130d260098686fcc7c2;2.5.0;minor;2017-05-08;2018-03-22;319
20;H;ansible;ansible;998793fd0ab55705d57527a38cee5e83f535974c;1.5.4;patch;2014-04-01;2014-04-01;0
21;L;ansible-runner;ansible-runner;dd2e549c6aadca4fb4f2cde11f1d4dca4b98964f;1.3.1;patch;2019-03-26;2019-03-27;1
22;H;anyconfig;python-anyconfig;4ab8770972fbd689d7152e572380fa9fbe88df05;0.10.0;minor;2020-12-19;2021-01-03;19
23;M;apache-airflow;airflow;24a54242d56058846c7978130b3f37ca045d5142;2021.2.5;patch;2021-01-27;2021-02-04;7
26;M;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.9.0;minor;2017-03-28;2017-12-15;257
28;L;asyncpg;asyncpg;69bcdf5bf7696b98ee708be5408fd7d854e910d0;0.21.0;minor;2020-08-09;2020-08-09;0
29;H;asyncssh;asyncssh;d0f0725371a5082f1b88b5c23b438c0edf07846a;2.5.0;minor;2020-12-13;2020-12-23;10
30;H;asyncssh;asyncssh;c161e26cdc0d41b745b63d9f17b437f073bf7ba4;1.12.1;patch;2018-03-10;2018-03-10;0
31;L;autobahn;autobahn-python;b22cf13ad9d581a744eb90108ae9a9d19af08f88;0.6.4;patch;2013-10-07;2013-10-21;14
32;M;awscli;aws-cli;6080bb0b302b59149a305bfa0a6a7c92a07d1ea5;1.11.83;patch;2017-05-04;2017-05-04;0
35;M;beaker;beaker;91becae76101cf87ce8cbfabe3af2622fc328fe5;1.6.4;patch;2012-08-07;2012-08-13;6
36;M;bleach;bleach;79b7a3c5e56a09d1d323a5006afa59b56162eb13;3.3.0;minor;2021-02-01;2021-02-01;0
37;M;bleach;bleach;e4e9e21e7aebff40c88fafa4319bba4636a602d9;3.1.2;patch;2020-03-17;2020-03-17;0
38;M;bleach;bleach;996cde7a2439a2323f9c4b2567c8b8449d393351;3.1.1;patch;2020-02-19;2020-02-19;0
39;M;boto;boto;8b65a6c250d0548d9ffe6393842931f59f793c77;2.39.0;minor;2015-05-01;2016-01-18;262
40;L;boto3;boto3;5a4396a4e0d1b337c081cb4095e5255da915198e;1.4.5;patch;2017-03-27;2017-07-31;124
42;M;bson;bson;430c1a72c2c3669ce46ba28b4a813a2b12d07f31;0.4.2;patch;2015-09-21;2016-01-24;128
43;M;cairosvg;cairosvg;cfc9175e590531d90384aa88845052de53d94bf3;2.5.1;patch;2021-01-06;2021-01-06;0
44;H;cairosvg;cairosvg;212f6b9114a7bccf899c5fcd2baa42ea5391fa00;1.0.21;patch;2016-06-14;2016-06-14;0
45;M;certifi;python-certifi;4f35e3529c78ced74040cf5d80bf8ec4aac9a190;2017.04.17;patch;2017-04-17;2017-04-17;0
46;M;channels;channels;a1ecd5ee72a538f19bdd9e8f6bb91bb8aabba5d9;2.1.7;patch;2019-01-25;2019-01-31;6
48;M;cheroot;cheroot;040f7bf687fb2c2ae5b98d0c15de65fdb7682a30;6.3.2;patch;2018-06-15;2018-06-16;1
49;H;cherrypy;cherrypy;7e6187ee19a90ebe7f8597296bfa942cd1eb1864;2.2.0;minor;2006-01-10;2006-04-03;83
50;H;clickhouse-driver;clickhouse-driver;3e990547e064b8fca916b23a0f7d6fe8c63c7f6b;0.1.5;patch;2020-09-11;2020-09-19;8
51;M;codecov;codecov-python;f2c93c7893847e50639416c1bc2e38cb375825d8;2.0.17;patch;2020-03-17;2020-03-17;0
52;M;codecov;codecov-python;2a80aa434f74feb31242b6f213b75ce63ae97902;2.0.16;patch;2020-02-19;2020-02-24;5
53;M;colander;colander;98805557c10ab5ff3016ed09aa2d48c49b9df40b;1.7.0;minor;2019-02-01;2019-02-01;0
55;M;cryptography;cryptography;06cbf77371881e80ea4b5e349136dcc53749fc0c;3.4.1;patch;2021-02-07;2021-02-07;0
56;H;cryptography;cryptography;58494b41d6ecb0f56b7c5f05d5f5e3ca0320d494;3.2.1;patch;2020-10-25;2020-10-27;2
58;H;cryptography;cryptography;b924696b2e8731f39696584d12cceeb3aeb2d874;1.7.1;patch;2016-11-06;2016-12-13;37
59;M;cryptography;cryptography;41aabcbd2326ae154a16a1a050ee01fb9a54bd19;1.1.1;patch;2015-09-09;2015-11-18;69
62;M;django;django;07e59caa02831c4569bbebb9eb773bdd9cb4b206;2.2.13;patch;2020-06-03;2020-06-03;0
63;M;django;django;6d61860b22875f358fac83d903dc629897934815;2.2.13;patch;2020-06-03;2020-06-03;0
64;M;django;django;11c5e0609bcc0db93809de2a08e0dc3d70b393e4;3.1.1;patch;2019-12-02;2020-09-01;274
65;H;django;django;54d0f5e62f54c29a12dd96f44bacd810cbe03ac8;3.0.1;patch;2019-07-01;2019-12-18;167
66;L;django;django;afddabf8428ddc89a332f7a78d0d21eaf2b5a673;2.2.2;patch;2019-06-03;2019-06-03;0
67;M;django;django;40cd19055773705301c3428ed5e08a036d2091f3;2.1.6;patch;2019-02-11;2019-02-11;0
68;M;django;django;1ecc0a395;2.2.1;patch;2019-01-03;2019-05-01;118
69;M;django;django;f5335bc745d4f86d355b69549712885fd1634574;2.1.2;patch;2018-09-26;2018-10-01;5
70;L;django;django;67b46ba7016da2d259c1ecc7d666d11f5e1cfaab;1.10.1;patch;2016-03-01;2016-09-01;180
71;H;django;django;c5544d289233f501917e25970c03ed444abbd4f0;1.10.1;patch;2016-03-01;2016-09-01;180
72;M;django;django;316bc3fc9437c5960c24baceb93c73f1939711e4;1.10.1;patch;2015-11-24;2016-09-01;282
73;L;django;django;2b31342cdf14fc20e07c43d258f1e7334ad664a6;1.7.1;patch;2014-08-20;2014-10-22;62
74;M;django;django;732198ed5c;1.3.1;patch;2010-12-23;2011-09-10;262
75;M;django;django;6819be1ea1;1.3.1;patch;2010-12-23;2011-09-10;262
76;H;django-anymail;django-anymail;1a6086f2b58478d71f89bf27eb034ed81aefe5ef;6.0.1;patch;2018-02-08;2019-05-19;466
77;H;django-anymail;django-anymail;c07998304b4a31df4c61deddcb03d3607a04691b;1.2.1;patch;2018-02-02;2018-02-02;0
78;L;django-cacheops;django-cacheops;adba2dc9908c50157d417fd7564669c11ed23b2a;4.0.6;patch;2018-02-23;2018-03-08;15
79;M;django-hashid-field;django-hashid-field;2a0be45333c5a700bbba0e15533ff8dce589e956;3.1.1;patch;2020-01-15;2020-01-15;0
80;M;django-haystack;django-haystack;1b1b986890b5cb330b0b8a963b090e9b831c198c;1.2.0;minor;2009-03-24;2011-05-03;769
81;H;django-js-reverse;django-js-reverse;78d6aff2276f2d341f643b095515f8aaba5e67c2;0.9.1;patch;2019-05-09;2019-05-09;0
82;M;django-oauth-toolkit;django-oauth-toolkit;83367ffe5ad1046f5a5338537a8655cb1c16400d;0.8.0;minor;2015-02-02;2015-03-27;55
85;M;django-rest-framework;django-rest-framework;4121b01b912668c049b26194a9a107c27a332429;3.11.2;patch;2020-09-30;2020-09-30;0
86;M;django-revproxy;django-revproxy;e9b4dfd162c73adbad6077355c9420d0c40d4f3f;0.9.7;patch;2015-09-16;2015-12-03;77
87;M;django-select2;django-select2;4a1b83ad1e9b2523961a0f23706c70b01683494f;5.7.0;minor;2016-01-26;2016-01-26;0
88;M;django-storages;django-storages;6ee6a739752923c60eaa1e82262c1d07208ec7f6;1.7.1;patch;2018-09-02;2018-09-06;4
89;H;django-tastypie;django-tastypie;e8af315211b07c8f48f32a063233cc3f76dd5bc2;0.9.11;patch;2011-10-28;2011-12-09;41
90;M;django-two-factor-auth;django-two-factor-auth;454fd9842fa6e8bb772dbf0943976bc8e3335359;1.12.1;patch;2020-07-08;2020-07-08;0
91;M;django-user-sessions;django-user-sessions;f0c4077e7d1436ba6d721af85cee89222ca5d2d9;1.7.1;patch;2020-01-24;2020-01-24;0
92;M;djoser;djoser;fcd20f302fd1d5d37319b42094ad070f17ed36cc;1.5.1;patch;2019-04-01;2019-04-01;0
93;H;djoser;djoser;73b84926d9566df12d48245b06c5d5c986bbb272;1.3.2;patch;2018-11-17;2018-12-04;17
94;M;dynamodb-encryption-sdk;aws-dynamodb-encryption-python;90606ec9af7c2b5cb338d64639a62ee867d38d6b;1.3.0;minor;2021-02-04;2021-02-04;0
96;H;elastic-apm;apm-agent-python;47286d746e05897c6b3af8d465aa56ab1ed8d678;5.1.0;minor;2019-08-14;2019-08-14;0
97;M;facebook-sdk;facebook-sdk;3fc17fa91feacba3b2188dcd6033962dd7c89326;0.3.2;patch;2012-07-17;2012-07-28;11
98;L;flask;flask;aeed530e3221c1b445c13269dcd2fb67548bcefc;0.6.1;patch;2010-12-23;2010-12-31;8
99;M;flask-admin;flask-admin;75e51ebca2c4ef236854cfe88a237177813d39c1;1.5.3;patch;2018-09-05;2018-12-19;104
100;M;flask-admin;flask-admin;0dc5a48fd0a4fdd28172e0bc508373ddb58fc50b;1.5.2;patch;2017-06-29;2018-08-27;423
101;M;flask-admin;flask-admin;f447db0c78c03235d0dd6bdce0c5365fc6a7c321;1.3.0;minor;2015-08-20;2015-08-23;3
102;M;flask-appbuilder;flask-appbuilder;08942c100174a111af41ff90e5444253b83d6294;2.2.3;patch;2020-02-18;2020-02-18;0
103;M;flower;flower;ba454515ee13a2940e728dabfec25b136cce8a23;0.9.2;patch;2017-01-09;2017-06-18;159
104;H;gdal;gdal;148115fcc40f1651a5d15fa34c9a8c528e7147bb;3.1.0;minor;2019-08-04;2020-05-04;275
105;M;graphite-web;graphite-web;4a9f98647be279a39a982bd94922fdec710b0b3f;0.9.11;patch;2013-08-20;2013-08-20;0
106;M;gunicorn;gunicorn;c5be1bae5c42b1e600be22d0655fc3ec4e4711cb;20.0.1;patch;2019-11-20;2019-11-23;3
108;M;homeassistant;core;0f12b37977766647dcc34a0189b37c7379b5f665;0.73.2;patch;2018-07-16;2018-07-16;0
109;H;httpie;httpie;df36d6255df5793129b02ac82f1010171bd8a0a8;1.0.3;patch;2019-06-24;2019-08-26;62
110;H;httplib2;httplib2;bd9ee252c8f099608019709e22c0d705e98d26bc;0.19.0;minor;2021-01-27;2021-02-07;10
111;H;httplib2;httplib2;a1457cc31f3206cf691d11d2bf34e98865873e9e;0.18.0;minor;2020-05-20;2020-05-20;0
112;M;imageio;imageio;5b398716d518cd14e8b978ea3cd8ec6c0236c1d8;2.6.0;minor;2019-10-07;2019-10-07;0
113;M;ipython;ipython;0a8096adf165e2465550bd5893d7e352544e5967;3.2.2;patch;2015-09-16;2015-09-22;6
114;H;jinja2;jinja;9b53045c34e61013dc8f09b7e52a555fa16bed16;2.8.1;patch;2016-12-29;2016-12-29;0
115;M;jinja2;jinja;acb672b6a179567632e032f547582f30fa2f4aa7;2.7.2;patch;2014-01-10;2014-01-10;0
116;M;jinja2;jinja;acb672b6;2.7.2;patch;2014-01-10;2014-01-10;0
117;M;jwcrypto;jwcrypto;eb5be5bd94c8cae1d7f3ba9801377084d8e5a7ba;0.4.0;minor;2016-08-31;2016-11-29;88
118;M;luigi;luigi;06e3d9163c36f347cef09d9442aff55a10660f31;2.8.0;minor;2018-11-02;2018-11-02;0
119;M;luigi;luigi;695079822e6329614d16595c626f466c75446b70;2.7.5;patch;2018-04-11;2018-04-12;1
120;H;lxml;lxml;a105ab8dc262ec6735977c25c13f0bdfcdec72a7;4.6.2;patch;2020-11-26;2020-11-26;0
121;M;lxml;lxml;0245aba002f069a0b157282707bdf77418d1b5be;4.4.0;minor;2019-03-26;2019-07-27;121
122;M;lxml;lxml;6be1d081b49c97cfd7b3fbd934a193b668629109;4.2.5;patch;2018-09-09;2018-09-09;0
123;H;markdown2;python-markdown2;7b651260739647de5198323e0445b1618750c374;2.4.0;minor;2021-01-20;2021-01-22;2
124;M;markdown2;python-markdown2;1b1dcdd727c0ef03453b9f5ef5ae3679f1d72323;2.3.6;patch;2018-09-25;2018-09-25;0
125;M;marshmallow;marshmallow;98f2b4759c9a7c7ac5e790727d47f2b328520713;2.15.1;patch;2018-04-24;2018-04-25;1
126;M;mistune;mistune;5f06d724bc05580e7f203db2d4a4905fc1127f98;0.8.1;patch;2017-11-21;2017-11-21;0
127;H;mitmproxy;mitmproxy;d027891cec67e190403fc4fa73f17d7a74f02720;5.0.0;major;2019-01-13;2019-12-16;333
128;M;msgpack;msgpack-python;3b80233592674d18c8db7a62fa56504a5a285296;0.6.0;minor;2018-11-08;2018-11-30;22
129;M;nltk;nltk;f59d7ed8df2e0e957f7f247fe218032abdbe9a10;3.4.5;patch;2019-08-20;2019-08-20;0
130;M;notebook;notebook;32bd47068bcd042e7a76f46f3be44d9a59143820;6.1.6;patch;2020-11-18;2020-12-22;34
131;M;notebook;notebook;08c4c898182edbe97aadef1815cce50448f975cb;6.0.0;major;2019-03-27;2019-07-16;109
